"code","name","postal_code","population","code_city"
"75101",Paris 1er,"75001",,"75056"
"75102",Paris 2ème,"75002",,"75056"
"75103",Paris 3ème,"75003",,"75056"
"75104",Paris 4ème,"75004",,"75056"
"75105",Paris 5ème,"75005",,"75056"
"75106",Paris 6ème,"75006",,"75056"
"75107",Paris 7ème,"75007",,"75056"
"75108",Paris 8ème,"75008",,"75056"
"75109",Paris 9ème,"75009",,"75056"
"75110",Paris 10ème,"75010",,"75056"
"75111",Paris 11ème,"75011",,"75056"
"75112",Paris 12ème,"75012",,"75056"
"75113",Paris 13ème,"75013",,"75056"
"75114",Paris 14ème,"75014",,"75056"
"75115",Paris 15ème,"75015",,"75056"
"75116",Paris 16ème,"75016",,"75056"
"75117",Paris 17ème,"75017",,"75056"
"75118",Paris 18ème,"75018",,"75056"
"75119",Paris 19ème,"75019",,"75056"
"75120",Paris 20ème,"75020",,"75056"
"13201",Marseille 1er,"13001",,"13055"
"13202",Marseille 2ème,"13002",,"13055"
"13203",Marseille 3ème,"13003",,"13055"
"13204",Marseille 4ème,"13004",,"13055"
"13205",Marseille 5ème,"13005",,"13055"
"13206",Marseille 6ème,"13006",,"13055"
"13207",Marseille 7ème,"13007",,"13055"
"13208",Marseille 8ème,"13008",,"13055"
"13209",Marseille 9ème,"13009",,"13055"
"13210",Marseille 10ème,"13010",,"13055"
"13211",Marseille 11ème,"13011",,"13055"
"13212",Marseille 12ème,"13012",,"13055"
"13213",Marseille 13ème,"13013",,"13055"
"13214",Marseille 14ème,"13014",,"13055"
"13215",Marseille 15ème,"13015",,"13055"
"13216",Marseille 16ème,"13016",,"13055"
"13217",Marseille 17ème,"13017",,"13055"
"69381",Lyon 1er,"69001",,"69123"
"69382",Lyon 2ème,"69002",,"69123"
"69383",Lyon 3ème,"69003",,"69123"
"69384",Lyon 4ème,"69004",,"69123"
"69385",Lyon 5ème,"69005",,"69123"
"69386",Lyon 6ème,"69006",,"69123"
"69387",Lyon 7ème,"69007",,"69123"
"69388",Lyon 8ème,"69008",,"69123"
"69389",Lyon 9ème,"69009",,"69123"
